kolesa.kz/a/show/98541692, ВАЗ (Lada) 2114 (хэтчбек), 2 000 000 ₸
kolesa.kz/a/show/98317627, ВАЗ (Lada) 2114 (хэтчбек), 1 500 000 ₸
kolesa.kz/a/show/98862099, ВАЗ (Lada) 2114 (хэтчбек), 750 000 ₸
kolesa.kz/a/show/98861668, ВАЗ (Lada) 2114 (хэтчбек), 1 350 000 ₸
kolesa.kz/a/show/98861266, ВАЗ (Lada) 2114 (хэтчбек), 750 000 ₸
kolesa.kz/a/show/98705797, ВАЗ (Lada) 2114 (хэтчбек), 1 800 000 ₸
kolesa.kz/a/show/98859593, ВАЗ (Lada) 2114 (хэтчбек), 680 000 ₸
kolesa.kz/a/show/98044724, ВАЗ (Lada) 2114 (хэтчбек), 1 400 000 ₸
kolesa.kz/a/show/98858456, ВАЗ (Lada) 2114 (хэтчбек), 450 000 ₸
kolesa.kz/a/show/98855391, ВАЗ (Lada) 2114 (хэтчбек), 700 000 ₸
kolesa.kz/a/show/98854763, ВАЗ (Lada) 2114 (хэтчбек), 750 000 ₸
kolesa.kz/a/show/98856463, ВАЗ (Lada) 2114 (хэтчбек), 1 350 000 ₸
kolesa.kz/a/show/98856071, ВАЗ (Lada) 2114 (хэтчбек), 1 200 000 ₸
kolesa.kz/a/show/98854963, ВАЗ (Lada) 2114 (хэтчбек), 1 570 000 ₸
kolesa.kz/a/show/98853018, ВАЗ (Lada) 2114 (хэтчбек), 1 450 000 ₸
kolesa.kz/a/show/98852553, ВАЗ (Lada) 2114 (хэтчбек), 800 000 ₸
kolesa.kz/a/show/98851332, ВАЗ (Lada) 2114 (хэтчбек), 1 500 000 ₸
kolesa.kz/a/show/98848324, ВАЗ (Lada) 2114 (хэтчбек), 1 399 999 ₸
kolesa.kz/a/show/98036354, ВАЗ (Lada) 2114 (хэтчбек), 1 390 000 ₸
kolesa.kz/a/show/98174945, ВАЗ (Lada) 2114 (хэтчбек), 1 420 000 ₸
